time,pm2d5,lat,lon,lon_bin,lat_bin
2018-11-23 01:40:00,33.37845,23.044381,113.142363,9.0,9.0
2018-11-23 01:40:00,29.7784,23.035945,113.142722,9.0,6.0
2018-11-23 01:40:00,25.215062972292188,23.054479735516374,113.14174625188917,9.0,13.0
2018-11-23 01:40:00,38.256750000000004,23.048606,113.156814,12.0,11.0
2018-11-23 01:40:00,35.68355,23.057191,113.14210499999999,9.0,14.0
2018-11-23 01:40:00,42.315,23.02574388888889,113.13124555555555,7.0,3.0
2018-11-23 01:40:00,36.4152,23.035865000000005,113.157705,12.0,6.0
2018-11-23 01:40:00,38.19335034013605,23.02477018707483,113.12997069727892,7.0,2.0
2018-11-23 01:40:00,35.381750000000004,23.060325,113.15760700000001,12.0,15.0
2018-11-23 01:40:00,9.256549999999999,23.029907,113.149094,10.0,4.0
2018-11-23 01:50:00,38.21777975133215,23.02467811722913,113.13003518650089,7.0,2.0
2018-11-23 01:50:00,20.868299999999998,23.051251999999998,113.125344,6.0,12.0
2018-11-23 01:50:00,25.633106060606057,23.054479646464646,113.1417465050505,9.0,13.0
2018-11-23 01:50:00,32.4765,23.044381,113.142363,9.0,9.0
2018-11-23 01:50:00,8.7366,23.029907,113.149094,10.0,4.0
2018-11-23 01:50:00,30.52655,23.035945,113.142722,9.0,6.0
2018-11-23 01:50:00,38.22045,23.048606,113.156814,12.0,11.0
2018-11-23 01:50:00,35.564949999999996,23.035865000000005,113.157705,12.0,6.0
2018-11-23 01:50:00,36.0917,23.057191,113.14210499999999,9.0,14.0
2018-11-23 01:50:00,37.13413793103448,23.0244483908046,113.12908160919541,6.0,2.0
2018-11-23 01:50:00,36.3018,23.060325,113.15760700000001,12.0,15.0
2018-11-23 02:00:00,29.72,23.035945,113.142722,9.0,6.0
2018-11-23 02:00:00,36.341750000000005,23.060325,113.15760700000001,12.0,15.0
2018-11-23 02:00:00,35.6267,23.035865000000005,113.157705,12.0,6.0
2018-11-23 02:00:00,19.08975,23.051251999999998,113.125344,6.0,12.0
2018-11-23 02:00:00,25.323308080808083,23.054479646464646,113.1417465050505,9.0,13.0
2018-11-23 02:00:00,9.2868,23.029907,113.149094,10.0,4.0
2018-11-23 02:00:00,33.14025,23.044381,113.142363,9.0,9.0
2018-11-23 02:00:00,38.1282,23.048606,113.156814,12.0,11.0
2018-11-23 02:00:00,38.554882903981266,23.024510398126463,113.13011715456675,7.0,2.0
2018-11-23 02:00:00,37.31307692307693,23.02429034188034,113.12905384615385,6.0,2.0
2018-11-23 02:00:00,36.0216,23.057191,113.14210499999999,9.0,14.0
2018-11-23 02:10:00,17.81005,23.051251999999998,113.125344,6.0,12.0
2018-11-23 02:10:00,9.49835,23.029907,113.149094,10.0,4.0
2018-11-23 02:10:00,38.201950000000004,23.048606,113.156814,12.0,11.0
2018-11-23 02:10:00,25.355757575757575,23.054479646464646,113.1417465050505,9.0,13.0
2018-11-23 02:10:00,36.450250000000004,23.060325,113.15760700000001,12.0,15.0
2018-11-23 02:10:00,35.348150000000004,23.035865000000005,113.157705,12.0,6.0
2018-11-23 02:10:00,30.01335,23.035945,113.142722,9.0,6.0
2018-11-23 02:10:00,33.1132,23.044381,113.142363,9.0,9.0
2018-11-23 02:10:00,36.399899999999995,23.057191,113.14210499999999,9.0,14.0
2018-11-23 02:10:00,38.523238493723845,23.024547205020923,113.13034044351464,7.0,2.0
2018-11-23 02:20:00,9.05005,23.029907,113.149094,10.0,4.0
2018-11-23 02:20:00,35.946799999999996,23.035865000000005,113.157705,12.0,6.0
2018-11-23 02:20:00,38.389240614334476,23.024474872013652,113.13016660409556,7.0,2.0
2018-11-23 02:20:00,33.50515,23.044381,113.142363,9.0,9.0
2018-11-23 02:20:00,29.79335,23.035945,113.142722,9.0,6.0
2018-11-23 02:20:00,38.46015,23.048606,113.156814,12.0,11.0
2018-11-23 02:20:00,36.46,23.060325,113.15760700000001,12.0,15.0
2018-11-23 02:20:00,35.61,23.057191,113.14210499999999,9.0,14.0
2018-11-23 02:20:00,25.393718592964827,23.0544798241206,113.141746,9.0,13.0
2018-11-23 02:20:00,18.60475,23.051251999999998,113.125344,6.0,12.0
2018-11-23 02:30:00,18.1448,23.051251999999998,113.125344,6.0,12.0
2018-11-23 02:30:00,9.02485,23.029907,113.149094,10.0,4.0
2018-11-23 02:30:00,36.2133,23.035865000000005,113.157705,12.0,6.0
2018-11-23 02:30:00,38.39648287385129,23.024455037593988,113.12999873851297,7.0,2.0
2018-11-23 02:30:00,32.90665,23.044381,113.142363,9.0,9.0
2018-11-23 02:30:00,29.97335,23.035945,113.142722,9.0,6.0
2018-11-23 02:30:00,35.516349999999996,23.057191,113.14210499999999,9.0,14.0
2018-11-23 02:30:00,36.4598,23.060325,113.15760700000001,12.0,15.0
2018-11-23 02:30:00,38.3402,23.048606,113.156814,12.0,11.0
2018-11-23 02:30:00,25.13445843828715,23.05447991183879,113.14174575062972,9.0,13.0
2018-11-23 02:40:00,38.3298,23.048606,113.156814,12.0,11.0
2018-11-23 02:40:00,30.7949,23.035945,113.142722,9.0,6.0
2018-11-23 02:40:00,36.1936,23.035865000000005,113.157705,12.0,6.0
2018-11-23 02:40:00,8.79005,23.029907,113.149094,10.0,4.0
2018-11-23 02:40:00,35.5631,23.057191,113.14210499999999,9.0,14.0
2018-11-23 02:40:00,38.42323038397329,23.02448305509182,113.12998925709518,7.0,2.0
2018-11-23 02:40:00,18.6399,23.051251999999998,113.125344,6.0,12.0
2018-11-23 02:40:00,25.327316455696206,23.054479556962026,113.14174675949367,9.0,13.0
2018-11-23 02:40:00,36.681349999999995,23.060325,113.15760700000001,12.0,15.0
2018-11-23 02:40:00,32.91815,23.044381,113.142363,9.0,9.0
2018-11-23 02:50:00,35.551700000000004,23.057191,113.14210499999999,9.0,14.0
2018-11-23 02:50:00,9.2582,23.029907,113.149094,10.0,4.0
2018-11-23 02:50:00,36.424749999999996,23.035865000000005,113.157705,12.0,6.0
2018-11-23 02:50:00,38.51326923076923,23.02445928929766,113.12996286789298,7.0,2.0
2018-11-23 02:50:00,30.488249999999997,23.035945,113.142722,9.0,6.0
2018-11-23 02:50:00,18.79835,23.051251999999998,113.125344,6.0,12.0
2018-11-23 02:50:00,38.846849999999996,23.048606,113.156814,12.0,11.0
2018-11-23 02:50:00,32.838449999999995,23.044381,113.142363,9.0,9.0
2018-11-23 02:50:00,24.980100250626567,23.0544799122807,113.14174574937344,9.0,13.0
2018-11-23 02:50:00,36.88825,23.060325,113.15760700000001,12.0,15.0
2018-11-23 03:00:00,18.9249,23.051251999999998,113.125344,6.0,12.0
2018-11-23 03:00:00,36.5051,23.035865000000005,113.157705,12.0,6.0
2018-11-23 03:00:00,24.934748743718593,23.0544798241206,113.141746,9.0,13.0
2018-11-23 03:00:00,30.00685,23.035945,113.142722,9.0,6.0
2018-11-23 03:00:00,9.1816,23.029907,113.149094,10.0,4.0
2018-11-23 03:00:00,32.958400000000005,23.044381,113.142363,9.0,9.0
2018-11-23 03:00:00,39.135149999999996,23.048606,113.156814,12.0,11.0
2018-11-23 03:00:00,38.431496655518394,23.024469347826088,113.12999864548496,7.0,2.0
2018-11-23 03:00:00,36.01505,23.057191,113.14210499999999,9.0,14.0
2018-11-23 03:00:00,36.64025,23.060325,113.15760700000001,12.0,15.0
2018-11-23 03:10:00,30.219749999999998,23.035945,113.142722,9.0,6.0
2018-11-23 03:10:00,36.04015,23.057191,113.14210499999999,9.0,14.0
2018-11-23 03:10:00,32.78485,23.044381,113.142363,9.0,9.0
2018-11-23 03:10:00,36.64345,23.035865000000005,113.157705,12.0,6.0
2018-11-23 03:10:00,38.51797629127858,23.02448392040644,113.1300151651143,7.0,2.0
2018-11-23 03:10:00,24.577875,23.054479999999998,113.1417455,9.0,13.0
2018-11-23 03:10:00,39.00965,23.048606,113.156814,12.0,11.0
2018-11-23 03:10:00,19.22505,23.051251999999998,113.125344,6.0,12.0
2018-11-23 03:10:00,8.6451,23.029907,113.149094,10.0,4.0
2018-11-23 03:10:00,39.14888888888889,23.024304444444443,113.12916111111112,6.0,2.0
2018-11-23 03:10:00,37.043,23.060325,113.15760700000001,12.0,15.0
2018-11-23 03:20:00,38.94145,23.048606,113.156814,12.0,11.0
2018-11-23 03:20:00,30.65825,23.035945,113.142722,9.0,6.0
2018-11-23 03:20:00,18.370050000000003,23.051251999999998,113.125344,6.0,12.0
2018-11-23 03:20:00,32.69505,23.044381,113.142363,9.0,9.0
2018-11-23 03:20:00,36.71835,23.035865000000005,113.157705,12.0,6.0
2018-11-23 03:20:00,36.24665,23.057191,113.14210499999999,9.0,14.0
2018-11-23 03:20:00,38.68595,23.024432708333332,113.12997413333333,7.0,2.0
2018-11-23 03:20:00,24.680799999999998,23.054479999999998,113.1417455,9.0,13.0
2018-11-23 03:20:00,8.9234,23.029907,113.149094,10.0,4.0
2018-11-23 03:20:00,37.02035,23.060325,113.15760700000001,12.0,15.0
2018-11-23 03:30:00,33.2583,23.044381,113.142363,9.0,9.0
2018-11-23 03:30:00,36.35855,23.057191,113.14210499999999,9.0,14.0
2018-11-23 03:30:00,7.9216999999999995,23.029907,113.149094,10.0,4.0
2018-11-23 03:30:00,37.116550000000004,23.035865000000005,113.157705,12.0,6.0
2018-11-23 03:30:00,39.02,23.048606,113.156814,12.0,11.0
2018-11-23 03:30:00,38.957182274247494,23.02446931438127,113.1301108110368,7.0,2.0
2018-11-23 03:30:00,18.80255,23.051251999999998,113.125344,6.0,12.0
2018-11-23 03:30:00,24.331478696741854,23.0544799122807,113.14174574937344,9.0,13.0
2018-11-23 03:30:00,38.1352,23.060325,113.15760700000001,12.0,15.0
2018-11-23 03:30:00,30.570149999999998,23.035945,113.142722,9.0,6.0
2018-11-23 03:40:00,39.31325,23.048606,113.156814,12.0,11.0
2018-11-23 03:40:00,36.6634,23.035865000000005,113.157705,12.0,6.0
2018-11-23 03:40:00,19.656783919597988,23.051252,113.125344,6.0,12.0
2018-11-23 03:40:00,30.91995,23.035945,113.142722,9.0,6.0
2018-11-23 03:40:00,8.68665,23.029907,113.149094,10.0,4.0
